Item,Description,Quantity On Hand,Category,Brand
MLB-FSWB-JB-180-012-120,MLB-FSWB-JB-180-012-120 (12W/Poultry/JB mount/Dim to blue),-338,Livestock/Ag LED,ONCE LED'S
MLB-FSWB-JJ-180-012-120,MLB-FSWB-JJ-180-012-120 (12W Poultry/JJ mount/E26/Dim to blue),-1,Livestock/Ag LED,ONCE LED'S
MLL-FSWR-JB-180-012-120,MLL-FSWR-JB-180-012-120 (12W Poultry/Junction box Dim to Red),-108,Livestock/Ag LED,ONCE LED'S
MLL-FSWR-JJ-180-012-120,MLL-FSWR-JJ-180-012-120,-3,Livestock/Ag LED,ONCE LED'S
MLS-FSWR-JB-180-014-120,MLS-FSWR-JB-180-014-120 (14W Swine/Junct Box Adapter/JB adapter),870,Livestock/Ag LED,ONCE LED'S
MLS-FSWR-JJ-180-014-120,MLS-FSWR-JJ-180-014-120 (14W Swine/JJ adapter/JJ connector),275,Livestock/Ag LED,ONCE LED'S
MLA-15-HW,15W 120V LED aquaculture applications,,Livestock/Ag LED,ONCE LED'S
MLA-1,15W 120VAC LED aquaculture fixture,,Livestock/Ag LED,ONCE LED'S
