Item,Description,Quantity On Hand,Category
EGK Osram,EGK Osram  (1000W/120V/T6/P28s),12,Stage/Studio
EGM GE,EGM  GE (Q1000CL/P),1,Stage/Studio
EGN Osram,EGN Osram (Q500T6/120V),6,Stage/Studio
EGR,EGR Osram (Q750T7/CL/120V),13,Stage/Studio
EGT Osram,EGT Osram (1000W/120V/T7/G22),33,Stage/Studio
EHC Osram,EHC/EHB Osram (Q500/5CL),6,Stage/Studio
EHD Osram,EHD Osram (Q500CL/120V/T4/G9.5),12,Stage/Studio
EHF Osram,EHF Osram (Q750/4CL/T5/G9.5/120V),15,Stage/Studio
EHG Osram,EHG  Osram  (Q750CL/TP/120V),4,Stage/Studio
EHJ Osram,EHJ  64655/HLX  Osram (250W/24V/T4/G6.35),5,Stage/Studio
EHM Ushio,EHM Ushio (Q300T2.5/CL/120V),4,Stage/Studio
EHP Ushio,EHP Ushio Q300T4/CL/120V,4,Stage/Studio
EHR Eiko,EHR Eiko (400W/120V/T4/R7s),0,Stage/Studio
EHT Osram,EHT Osram (Q250CL/MC/120V),0,Stage/Studio
EJG Osram,EJG Osram (750w/120v//T3/R7s),0,Stage/Studio
EKB Ushio,EKB Ushio (JCD120V420WC),0,Stage/Studio
EKD,EKD (650W/120V/G6/GZ9.5),0,Stage/Studio
EMD Ushio,(Q750T3/4-120V)  EMD Ushio,17,Stage/Studio
ETC Osram,ETC Osram (Q150CL/DC),2,Stage/Studio
EVR GE,EVR GE (Q500CL/MC/120V),3,Stage/Studio
EXN Wiko,EXN Wiko  (50W/12V/MR16/Gu5.3/38degFL),5,Stage/Studio
EXY Osram,EXY Osram  (250W/82V/T3.5/Gx5.3),15,Stage/Studio
EYC Wiko,EYC Wiko  (75W/12V/38degFL/MR16/Gu5.3),28,Stage/Studio
EZK GE,EZK GE  (150W/120V/MR16/GY5.3),10,Stage/Studio
FAY GE,FAY GE (Q650PAR36/3D/120V/Ferrule),0,Stage/Studio
FBX Ushio,FBX Ushio  (650W/120V),1,Stage/Studio
FCB Osram,FCB Osram (600W/120V/R7s),22,Stage/Studio
FCL GE,FCL  GE (Q500T3/CL),54,Stage/Studio
FCM Osram,FCM  Osram (Q1000T3/4CL/120V),18,Stage/Studio
FCM/HIR  GE,FCM/HIR  GE (Q650T3/4) (650W/120V/T3/R7S)..DISCONTINUED-NO REPLACEMENT,0,Stage/Studio
FCX GE,FCX GE (Q650Par36/7/120V/Ferrule/MFL),0,Stage/Studio
FDA Osram,FDA  Osram (Q400T4/4CL),1,Stage/Studio
FDB Osram,FDB Osram (Q1500T4/4CL/120V),0,Stage/Studio
FDF Osram,FDF  Osram (Q500T3/4CL),1,Stage/Studio
FEL Osram,FEL Osram (Q1000/4CL/120V/G9.5),149,Stage/Studio
FEV Osram,FEV Osram (200T3Q/CL/120V),24,Stage/Studio
FEY Ushio,FEY Ushio (2000W/120V/T8/Rx7s),2,Stage/Studio
FFJ Osram,FFJ Osram (600W/120V/T4/R7s),42,Stage/Studio
FFM Osram,FFM Osram (420W/120V/T4/R7s),0,Stage/Studio
FFR Osram,FFR Osram (Q1000PAR64/5MFL 120V),0,Stage/Studio
FFS Osram,FFS Osram (Q1000PAR64/6WFL 120V),0,Stage/Studio
FFT Osram,FFT Osram (Q1000T3/1CL/120V),46,Stage/Studio
FGT Ushio,FGT Ushio (Q1500T4/4 120V),10,Stage/Studio
FHM Osram,FHM  Osram (Q1000/T3/4/120V/FR),32,Stage/Studio
FKW Osram,FKW Osram (300W/120V/T6/GY9.35),2,Stage/Studio
FLE Osram,FLE Osram  (360W/82V/T3.5/Gy5.3),30,Stage/Studio
FLK  Osram,FLK  Osram (Q575T6),2,Stage/Studio
FLK Osram,FLK Osram (575W/115V/T6/G9.5/300Hr/16500L),121,Stage/Studio
FRG Osram,FRG Osram,0,Stage/Studio
FRK Osram,FRK Osram (650W/120V/T6/Gy9.5),0,Stage/Studio
FTK Osram,FTK Osram (500W/120V/T6/Gy9.5),14,Stage/Studio
GCA Osram,GCA Osram  (250W/120V/G5.3),6,Stage/Studio
GCC Osram,GCC Osram  (100W/12V/T3/G5.3),0,Stage/Studio
GLA Osram,GLA Osram (575W/115V/2000Hr/T6/G9.5/10500L),8,Stage/Studio
GLC GE,GLC GE,6,Stage/Studio
GLD Osram,GLD (750w/115v/G9.5/300Hr/19K L),0,Stage/Studio
GLG Osram,Osram HP 375 GLG (375W/115V/300Hr/T6/G9.5/10000L),0,Stage/Studio
HPL375/115V Osram,Osram 54625  HPL375/115V  (375W/115V/300Hr/10540L),1,Stage/Studio
HPL375/115X Osram,Osram 54649  HPL375/115X (375W/115V/1000Hr/8000L),22,Stage/Studio
HPL550/77V Osram,Osram 54623  HPL550/77V,0,Stage/Studio
HPL575/115V Osram,Osram 54622  HPL575/115V  (575w/115v/300Hr/16500L),182,Stage/Studio
HPL575/115X Osram,Osram 54807  HPL575/115X  (575W/115V/1500Hr/12360L),181,Stage/Studio
HPL575/120V Osram,Osram 54817  HPL575/120V (575w/120V/300Hr/16460L),97,Stage/Studio
HPL575/120X Osram,Osram 54815  HPL575/120X  (575w/120X/2000Hr/12360L),-4,Stage/Studio
HPL750/120V Osram,Osram 54605  HPL750/120V (750W/120V/300Hr/21900L),48,Stage/Studio
HPL750/120X Osram,Osram 54653  HPL750/120X (750W/120V/1500Hr/16400L),51,Stage/Studio
HPR575/115V Osram,HPR575/115V (575W  High performance reflector- (= to FLK/ HX600)300Hr/ 18000L,16,Stage/Studio
HSR575/72 Osram,HSR575/72 Osram,3,Stage/Studio
Incandescent:300PAR56/MFL/120V Osram,300PAR56/MFL/120V Osram,1,Stage/Studio
Incandescent:300PAR56/NSP Osram,300PAR56/NSP/120v Osram,5,Stage/Studio
Incandescent:300PAR56/WFL Osram,300PAR56/WFL/120v Osram,3,Stage/Studio
Incandescent:500PAR64/MFL/120V Osram,Osram 500PAR64/MFL/120V,0,Stage/Studio
Incandescent:500PAR64/NSP/120V Osram,Osram 14938  500PAR64/NSP/120V,0,Stage/Studio
Incandescent:500PAR64/WFL/120V Osram,Osram 14935  500PAR64/WFL/120V,0,Stage/Studio
Non-Ansi:64657HLX Osram,64657HLX Osram EVC (250W/24V/G6.35),49,Stage/Studio
Non-Ansi:JT120V1000WB,JT120V1000WB (1000W/2000HR/Tube/MOG/CL),0,Stage/Studio
Q500PAR56/MFL Osram,Q500PAR56/MFL/120V Osram,2,Stage/Studio
Q500PAR56/NSP Osram,Q500PAR56/NSP/120v Osram,0,Stage/Studio
Q500PAR56/WFL Osram,Q500PAR56/WFL/120V Osram,0,Stage/Studio
Speciality Discharge:HSD250/78,HSD250/78/90V Osram,0,Stage/Studio
Speciality Discharge:HSR400,HSR400 67V Osram,2,Stage/Studio
Speciality Discharge:HTI700/D4/75,HTI700/D4/75 Osram SHARX,0,Stage/Studio
