Name,Description,Quantity,Category,Type
FEY Ushio,FEY Ushio (2000W/120V/T8/Rx7s),2,Stage/Studio,
FFJ Osram,FFJ Osram (600W/120V/T4/R7s),42,Stage/Studio,
FFM Osram,FFM Osram (420W/120V/T4/R7s),0,Stage/Studio,
FFR Osram,FFR Osram (Q1000PAR64/5MFL 120V),0,Stage/Studio,
FFS Osram,FFS Osram (Q1000PAR64/6WFL 120V),0,Stage/Studio,
FFT Osram,FFT Osram (Q1000T3/1CL/120V),46,Stage/Studio,
FGT Ushio,FGT Ushio (Q1500T4/4 120V),10,Stage/Studio,
FHM Osram,FHM  Osram (Q1000/T3/4/120V/FR),32,Stage/Studio,
FKW Osram,FKW Osram (300W/120V/T6/GY9.35),2,Stage/Studio,
FLE Osram,FLE Osram  (360W/82V/T3.5/Gy5.3),30,Stage/Studio,
FLK  Osram,FLK  Osram (Q575T6),2,Stage/Studio,
FLK Osram,FLK Osram (575W/115V/T6/G9.5/300Hr/16500L),121,Stage/Studio,
FRG Osram,FRG Osram,0,Stage/Studio,
FRK Osram,FRK Osram (650W/120V/T6/Gy9.5),0,Stage/Studio,
FTK Osram,FTK Osram (500W/120V/T6/Gy9.5),14,Stage/Studio,
GCA Osram,GCA Osram  (250W/120V/G5.3),6,Stage/Studio,
GCC Osram,GCC Osram  (100W/12V/T3/G5.3),0,Stage/Studio,
GLA Osram,GLA Osram (575W/115V/2000Hr/T6/G9.5/10500L),8,Stage/Studio,
GLC GE,GLC GE,6,Stage/Studio,
GLD Osram,GLD (750w/115v/G9.5/300Hr/19K L),0,Stage/Studio,
GLG Osram,Osram HP 375 GLG (375W/115V/300Hr/T6/G9.5/10000L),0,Stage/Studio,
HPL375/115V Osram,Osram 54625  HPL375/115V  (375W/115V/300Hr/10540L),1,Stage/Studio,
HPL375/115X Osram,Osram 54649  HPL375/115X (375W/115V/1000Hr/8000L),22,Stage/Studio,
HPL550/77V Osram,Osram 54623  HPL550/77V,0,Stage/Studio,
HPL575/115V Osram,Osram 54622  HPL575/115V  (575w/115v/300Hr/16500L),182,Stage/Studio,
HPL575/115X Osram,Osram 54807  HPL575/115X  (575W/115V/1500Hr/12360L),181,Stage/Studio,
HPL575/120V Osram,Osram 54817  HPL575/120V (575w/120V/300Hr/16460L),97,Stage/Studio,
HPL575/120X Osram,Osram 54815  HPL575/120X  (575w/120X/2000Hr/12360L),-4,Stage/Studio,
HPL750/120V Osram,Osram 54605  HPL750/120V (750W/120V/300Hr/21900L),48,Stage/Studio,
HPL750/120X Osram,Osram 54653  HPL750/120X (750W/120V/1500Hr/16400L),51,Stage/Studio,
HPR575/115V Osram,HPR575/115V (575W  High performance reflector- (= to FLK/ HX600)300Hr/ 18000L,16,Stage/Studio,
HSR575/72 Osram,HSR575/72 Osram,3,Stage/Studio,Incandescent
300PAR56/MFL/120V Osram,300PAR56/MFL/120V Osram,1,Stage/Studio,Incandescent
300PAR56/NSP Osram,300PAR56/NSP/120v Osram,5,Stage/Studio,Incandescent
300PAR56/WFL Osram,300PAR56/WFL/120v Osram,3,Stage/Studio,Incandescent
500PAR64/MFL/120V Osram,Osram 500PAR64/MFL/120V,0,Stage/Studio,Incandescent
500PAR64/NSP/120V Osram,Osram 14938  500PAR64/NSP/120V,0,Stage/Studio,Incandescent
500PAR64/WFL/120V Osram,Osram 14935  500PAR64/WFL/120V,0,Stage/Studio,Incandescent
64657HLX Osram,64657HLX Osram EVC (250W/24V/G6.35),49,Stage/Studio,Non-Ansi
JT120V1000WB,JT120V1000WB (1000W/2000HR/Tube/MOG/CL),0,Stage/Studio,Non-Ansi
Q500PAR56/MFL Osram,Q500PAR56/MFL/120V Osram,2,Stage/Studio,
Q500PAR56/NSP Osram,Q500PAR56/NSP/120v Osram,0,Stage/Studio,
Q500PAR56/WFL Osram,Q500PAR56/WFL/120V Osram,0,Stage/Studio,
HSD250/78,HSD250/78/90V Osram,0,Stage/Studio,Speciality Discharge
HSR400,HSR400 67V Osram,2,Stage/Studio,Speciality Discharge
HTI700/D4/75,HTI700/D4/75 Osram SHARX,0,Stage/Studio,Speciality Discharge
